date,restriction,severity
2020-03-16,500.0,0
2020-03-17,500.0,0
2020-03-18,100.0,1
2020-03-19,50.0,2
2020-03-20,50.0,2
2020-03-21,50.0,2
2020-03-22,50.0,2
2020-03-23,50.0,2
2020-03-24,10.0,10
2020-03-25,10.0,10
2020-03-26,10.0,10
2020-03-27,5.0,20
2020-03-28,5.0,20
2020-03-29,2.0,50
2020-03-30,1.0,100
2020-03-31,1.0,100
2020-04-01,1.0,100
2020-04-02,1.0,100
2020-04-03,1.0,100
2020-04-04,1.0,100
2020-04-05,1.0,100
2020-04-06,1.0,100
2020-04-07,1.0,100
2020-04-08,1.0,100
2020-04-09,1.0,100
2020-04-10,1.0,100
2020-04-11,1.0,100
2020-04-12,1.0,100
2020-04-13,1.0,100
2020-04-14,1.0,100
2020-04-15,1.0,100
2020-04-16,1.0,100
2020-04-17,1.0,100
2020-04-18,1.0,100
2020-04-19,1.0,100
2020-04-20,1.0,100
2020-04-21,1.0,100
2020-04-22,1.0,100
2020-04-23,1.0,100
2020-04-24,1.0,100
2020-04-25,1.0,100
2020-04-26,1.0,100
2020-04-27,1.0,100
2020-04-28,1.0,100
2020-04-29,2.0,50
2020-04-30,2.0,50
2020-05-01,10.0,10
2020-05-02,10.0,10
2020-05-03,10.0,10
2020-05-04,10.0,10
2020-05-05,10.0,10
2020-05-06,10.0,10
2020-05-07,10.0,10
2020-05-08,15.0,6
